id,title,description,product_type,link,image_link,price
"365895","Ocean South Cover for Mercury 2-Cylinder 4-Stroke 333 cc Outboard Motors","Suitable for the following Mercury outboard engines: &bull; 8 HP/9.9 HP EFI &ndash; 4-Stroke &ndash; 2-Cylinder 333 cc (2024 onwards) &bull; 15 HP/20 HP EFI &ndash; 4-Stroke &ndash; 2-Cylinder 333 cc (2018 onwards)","Awnings and Covers > Motor covers > MERCURY","https://www.francobordo.com/ocean-south-funda-motores-mercury-2-cilindros-4t-333-cc-p-365895.html","https://www.francobordo.com/images/productos/ocean-south-funda-motores-mercury-2-cilindros-4t-333-cc-1-365895.jpeg","37,50 EUR"
"365894","Locker with watertight hatch","Fitted with seal and 3 removable drawers with internal compartments; ideal for storing fishing gear or as a hardware drawer. Specifications Reference Variant Outside mm Inside mm Cut size mm Depth mm Frontal type Hatch type Lock kit OPTIONAL Replacement drawer 20.871.10 White 380x280 280x180 310x210 180 A [20.298.00] [20.093.00] [20.871.90] 20.871.11 White 380x280 280x180 310x210 180 B [20.291.00] [20.093.00] [20.871.90] 20.871.12 White 380x280 280x180 310x210 180 C [20.303.00] [20.094.00] [20.871.90]","On Board Comfort > Hatches and Recessed Boxes > Records With Chest","https://www.francobordo.com/armario-con-escotilla-estanca-p-365894.html","https://www.francobordo.com/images/productos/armario-con-escotilla-estanca-s1676-365833-365894.jpg","94,90 EUR"
"365893","Easysea Jake Starter Kit Telescopic Pole + Boat Hook head","The modular boat hook system: a 107&ndash;193 cm telescopic pole, interchangeable quick-release heads, a floating structure and magnetic Fidlock stowage. Every piece shares the same quick-release interface &bull; One system, many toolsThe quick-release interface on both pole ends lets you switch function in seconds. &bull; Built for the seaMarine-grade 6082 aluminium and reinforced technopolymers: strength and lightness in the harshest environment. &bull; Always within reachWith magnetic Fidlock mounts on lifelines and rails, your Jake is stowed, secure and ready to go. Additional benefits &bull; 3-year warranty on every easysea product&bull; 30-day money-back guarantee&bull; Interchangeable quick-release heads This kit contains:A. The Jake system telescopic pole: 6082 aluminium, 107 to 193 cm, quick-release on both ends.&bull; Material: aluminium 6082 / Derlin ST 100&bull; Weight: 845 g...","Anchor and Mooring > Hooks > Telescopic","https://www.francobordo.com/easysea-jake-starter-kit-mango-telescopico-cabezal-bichero-p-365893.html","https://www.francobordo.com/images/productos/easysea-jake-starter-kit-mango-telescopico-cabezal-bichero-11-365893.jpeg","129,00 EUR"
"365892","Lewmar Flush Hatch","It requires a special recess to be installed into the deck to receive the hatch. Clean and simple look, no protruding parts, space-wise use of deck surface.Technical data:- No visible frame: the black acrylic panel is all that can be seen on deck.- Very thick self-supporting plexiglass lid.- 90&deg; opening stay, self-locking in any position.- Exterior handle for use as escape hatch.- CE-approved for 2A area.Compatible with LEWMAR flyscreens, trimming rings and frames. Item Model Recess thickness Z mm External AxB mm Cut size mm Weight kg Acrylic thickness mm Finish counterflange + mosquito net 19.440.10 10 31 330x330 260x260 2,6 12 - 19.440.20 20 31 272x417 202x347 3,1 12 19.413.20 19.440.44 44 31 512x512 442x442 5,8 12 19.413.44 19.440.60 60 31 577x577 507x507 6,7 15 19.413.60 19.440.70 70 32-34 697x697 627x627 10,2 15 19.413.70...","Fitting > Hatchs and Gates > Hatches","https://www.francobordo.com/lewmar-escotilla-enrasada-p-365892.html","https://www.francobordo.com/images/productos/lewmar-escotilla-enrasada-3-365892.jpeg","554,00 EUR"
"365891","GOK Low Pressure Regulator Type EN61","Low-Pressure Regulator Type EN61 for Campingaz Cylinders With Integrated Excess Flow Device with plastic handwheel GAZ x G 1/4 lh M 29 mbar 0.6kg/h","On Board Comfort > Gas > Hoses and Regulators","https://www.francobordo.com/gok-regulador-de-baja-presion-tipo-en61-p-365891.html","https://www.francobordo.com/images/productos/gok-regulador-de-baja-presion-tipo-en61-1-365891.jpeg","26,15 EUR"
"365890","Easysea Boat Hook Head","The redesigned boat hook head: it grips, pulls and pushes without slipping, with a rubberized surface that won't scratch hulls or docks.&bull; Weight: 133 g","Anchor and Mooring > Hooks > Hook Fitting and Accessories","https://www.francobordo.com/easysea-cabezal-bichero-p-365890.html","https://www.francobordo.com/images/productos/easysea-cabezal-bichero-1-365890.jpeg","49,00 EUR"
"365889","Easysea Short Pole","The Jake system short pole: compact and light, same quick-release interface, for close-in work.","Anchor and Mooring > Hooks > Hook Fitting and Accessories","https://www.francobordo.com/easysea-mango-corto-p-365889.html","https://www.francobordo.com/images/productos/easysea-mango-corto-1-365889.jpeg","49,00 EUR"
"365888","Easysea QuickGrip Linemaster Head","The QuickGrip Linemaster head: it grabs and tensions lines even under load, with a stable, secure grip.","Anchor and Mooring > Hooks > Hook Fitting and Accessories","https://www.francobordo.com/easysea-cabezal-quickgrip-para-cabos-p-365888.html","https://www.francobordo.com/images/productos/cabezal-quickgrip-para-cabos-1-365888.jpeg","49,00 EUR"
"365887","Easysea Line-passing head","The line-passing head: it threads a line through rings, buoys and cleats in one movement. Solo docking made simple.","Anchor and Mooring > Hooks > Hook Fitting and Accessories","https://www.francobordo.com/easysea-cabezal-pasacabos-p-365887.html","https://www.francobordo.com/images/productos/cabezal-pasacabos-1-365887.jpeg","49,00 EUR"
"365886","Easysea Brush head","The brush head: it turns Jake into a stable tool for cleaning decks, hulls and tight spots.","Anchor and Mooring > Hooks > Hook Fitting and Accessories","https://www.francobordo.com/easysea-cabeza-de-cepillo-p-365886.html","https://www.francobordo.com/images/productos/cabeza-de-cepillo-1-365886.jpeg","39,00 EUR"
