id,title,description,product_type,link,image_link,price
"365971","Chaqueta impermeable HH Gale azul marino","Gale establece el nuevo est&aacute;ndar en impermeables profesionales. Completamente libre de ftalatos y respetuoso con el medio ambiente, te mantiene seco en cualquier condici&oacute;n meteorol&oacute;gica. Confeccionado en tejido de punto de poli&eacute;ster 100% de 240 g/m&sup2;. Chaqueta: cremallera frontal YKK con doble protecci&oacute;n, bolsillo tipo Napole&oacute;n con cremallera y paso para auriculares, capucha ajustable y abatible con cord&oacute;n, pu&ntilde;os de neopreno, bolsillo interior, norma EN 343:2003 + A1:2007 3.1, AATCC 127. Especificaciones Referencia Variante Tama&ntilde;o Color 24.502.01 Chaqueta S Azul marino 24.502.02 Chaqueta M Azul marino 24.502.05 Chaqueta XXL Azul marino 24.502.06 Chaqueta XXXL Azul marino","Equipo Personal > Ropa para Navegacion","https://www.francobordo.com/chaqueta-impermeable-hh-gale-azul-marino-p-365971.html","https://www.francobordo.com/images/productos/chaqueta-impermeable-hh-gale-azul-marino-1-365971.jpeg","149,50 EUR"
"365970","Jabsco regulador de presión salida roscada a 90 grados","Caracter&iacute;sticas del producto &bull; Reduce autom&aacute;ticamente la presi&oacute;n del agua de la red urbana, de hasta 125 psi, a un nivel seguro de 45 psi.&bull; Incorpora una v&aacute;lvula antirretorno integrada (requerida por la normativa federal y estatal para veh&iacute;culos recreativos conectados a la red de agua).&bull; Filtro de entrada integrado de f&aacute;cil limpieza. Se instala permanentemente empotrado en la carrocer&iacute;a del veh&iacute;culo.&bull; Sustituye f&aacute;cilmente la mayor&iacute;a de las tomas de agua de red originales.&bull; Regulaci&oacute;n autom&aacute;tica de la presi&oacute;n.&bull; V&aacute;lvula antirretorno integrada.&bull; Filtro de f&aacute;cil limpieza.&bull; Tapa protectora contra el polvo.&bull; Modelo de montaje empotrado (serie 44411). Las presiones de agua comprendidas entre 46 y 125 psi (3&ndash;10 bar) se reducen y regulan autom...","Agua a Bordo > Bombas de Agua y Accesorios > Accesorios y Repuestos de Bombas","https://www.francobordo.com/jabsco-regulador-de-presion-salida-roscada-a-90-grados-p-365970.html","https://www.francobordo.com/images/productos/jabsco-regulador-de-presion-salida-roscada-a-90-grados-3-365970.jpeg","112,95 EUR"
"365969","Bomba Rule Livewell","Caracter&iacute;sticas del producto &bull; Dise&ntilde;o de bomba de alta eficiencia para mantener el cebo en condiciones &oacute;ptimas.&bull; Extracci&oacute;n y sustituci&oacute;n sencilla del cartucho del motor con una sola mano mediante el sistema &laquo;girar y encajar&raquo;.&bull; Entradas para instalaciones con pasacasco acodado, pasacasco recto o v&aacute;lvula de fondo.&bull; Puerto de entrada secundario para conectar una bomba de baldeo.&bull; Protecci&oacute;n avanzada contra bolsas de aire.&bull; Caudales disponibles: 500, 800 y 1100 GPH. Consulta la tabla de modelos para obtener m&aacute;s informaci&oacute;n. Una buena pesca comienza con un buen cebo Desde hace m&aacute;s de 50 a&ntilde;os, constructores y propietarios de embarcaciones conf&iacute;an en las bombas Rule para disfrutar de sus jornadas en el agua. Sobre la base de esta trayectoria en rendimiento n&aacute;utic...","Agua a Bordo > Bombas de Achique y Accesorios > Bombas Recirculacion Viveros","https://www.francobordo.com/bomba-rule-livewell-p-365969.html","https://www.francobordo.com/images/productos/bomba-rule-livewell-2-365969.jpeg","90,80 EUR"
"365968","Tapa de protección (GPSMAP 8x17)","Mant&eacute;n tu dispositivo GPSMAP 8417 MFD compatible protegido frente a las duras condiciones marinas, cuando no se est&eacute; utilizando, con esta tapa de protecci&oacute;n.","Electronica > GPS y Sondas > Accesorios > Tapas > Garmin","https://www.francobordo.com/tapa-de-proteccion-gpsmap-8x17-p-365968.html","https://www.francobordo.com/images/productos/tapa-de-proteccion-gpsmap-8x17-1-365968.jpeg","79,99 EUR"
"365967","Luces de señalización LED para boyas de señalización o redes de pesca","Dispositivo de iluminación náutica conforme a la Gaceta Oficial n.º 112 (30/04/2011, artículos 13, 16 y 17) y normativa CE 1224/2009.Funcionamiento: conmutación automática del crepúsculo.Iluminación: dotado de 2 circuitos electrónicos LED que proporcionan luz blanca y amarilla.Baterías no incluidas. EspecificacionesReferenciaFuente de alimentación (pilas estándar)Color de la lenteDestelloVisibilidad mínimaDuraciónmm30.592.012xUM-1blanco + amarillo12 / min3 millas25 noches255x5530.592.062xUM-1blanco + amarillo12 / min3.5 millas60 noches210x60","Osculati Nuevos","https://www.francobordo.com/luces-de-senalizacion-led-para-boyas-de-senalizacion-o-redes-de-pesca-p-365967.html","https://www.francobordo.com/images/productos/luces-de-senalizacion-led-para-boyas-de-senalizaci-s28264-365967.jpg","15,95 EUR"
"365963","Antena VHF GLOMEX RA 400","Fabricado en fibra de vidrio, diseñado para teléfonos radio VHF, de 1,5 m de longitud. Ganancia de 3 dB, potencia máxima aplicable de 100 W. Se suministra sin base. EspecificacionesReferenciaCable coaxial RG 58 de 4,5 mConector de soldaduraAdecuado paraColor29.996.05Incluido[29.903.10]Lanchas a motorBlanco29.996.06Incluido[29.903.10]Lanchas a motorNegro","Osculati Nuevos","https://www.francobordo.com/antena-vhf-glomex-ra-400-p-365963.html","https://www.francobordo.com/images/productos/antena-vhf-glomex-ra-400-s2198-365963.jpg","51,90 EUR"
"365962","Antena VHF SUPERGAIN de Glomex Objetivo/Tarea","El dispositivo presenta una ganancia de 3 dB y una potencia de entrada máxima de 50 vatios. EspecificacionesReferenciaLongitud mmBase INCLUIDACable mColorAdecuado para29.985.01530Articulado6NegroEmbarcaciones a motor29.985.02530Lado8NegroEmbarcaciones a motor y delfines de control central","Osculati Nuevos","https://www.francobordo.com/antena-vhf-supergain-de-glomex-objetivo-tarea-p-365962.html","https://www.francobordo.com/images/productos/antena-vhf-supergain-de-glomex-objetivo-tarea-s28633-365962.jpg","65,90 EUR"
"365961","Base giratoria","Fabricado en acero inoxidable AISI 316 con acabado pulido espejo, diseñado para montaje en tubos de GPS y VHF. EspecificacionesReferenciaPara tuberías m29.930.2022/2529.930.2128/38","Osculati Nuevos","https://www.francobordo.com/base-giratoria-p-365961.html","https://www.francobordo.com/images/productos/base-giratoria-s2195-365961.jpg","63,10 EUR"
"365960","Repuesto para radomo GLOMEX","Para ser combinado con las antenas existentes para un mejor diseño o como nueva cubierta. EspecificacionesReferenciammPara antenas - GlomexPara antenas - Osculati29.923.90500x560Rhea[29.923.41]29.923.92500x560Saturno[29.923.51]29.923.91660x660Marte[29.923.61]","Osculati Nuevos","https://www.francobordo.com/repuesto-para-radomo-glomex-p-365960.html","https://www.francobordo.com/images/productos/repuesto-para-radomo-glomex-s40591-365960.jpg","839,00 EUR"
"365958","Cable RG62 para antenas de línea AM/FM de Glomeasy","Equipado con un conector FME preinstalado en un lado y un conector Motorola en el otro. Especificaciones Referencia Longitud (m) 29.799.06 6 29.799.18 18 29.799.25 25","Electronica > Antenas > Soportes y accesorios","https://www.francobordo.com/cable-rg62-para-antenas-de-linea-am-fm-de-glomeasy-p-365958.html","https://www.francobordo.com/images/productos/cable-rg62-para-antenas-de-linea-am-fm-de-glomeasy-1-365958.png","31,90 EUR"
